country,subdivision,type,million_60kgs_bag,year,nonbear_mill_trees,bear_mill_trees,nonbear_thous_hect,bear_thous_hect,trees_hect_bear,trees_hect_nonbear,avg_unemp_perc
Brazil,Minas Gerais,Arabica,16.2,2002,1500.0,4465.0,495.0,2120.0,2106.0,3030.0,
Brazil,Espirito Santo,Arabica,2.2,2002,1500.0,4465.0,495.0,2120.0,2106.0,3030.0,
Brazil,Espirito Santo,Robusta,7.5,2002,1500.0,4465.0,495.0,2120.0,2106.0,3030.0,
Brazil,Sao Paulo,Arabica,3.2,2002,1500.0,4465.0,495.0,2120.0,2106.0,3030.0,
Brazil,Parana,Arabica,0.5,2002,1500.0,4465.0,495.0,2120.0,2106.0,3030.0,6.95
Brazil,Minas Gerais,Arabica,26.7,2003,1125.0,5265.0,315.0,2360.0,2231.0,3577.0,
Brazil,Espirito Santo,Arabica,3.0,2003,1125.0,5265.0,315.0,2360.0,2231.0,3577.0,
Brazil,Espirito Santo,Robusta,8.5,2003,1125.0,5265.0,315.0,2360.0,2231.0,3577.0,
Brazil,Sao Paulo,Arabica,5.9,2003,1125.0,5265.0,315.0,2360.0,2231.0,3577.0,
Brazil,Parana,Arabica,2.6,2003,1125.0,5265.0,315.0,2360.0,2231.0,3577.0,7.16
Brazil,Minas Gerais,Arabica,14.4,2004,631.0,5050.0,205.0,2174.0,2323.0,3075.0,
Brazil,Espirito Santo,Arabica,1.7,2004,631.0,5050.0,205.0,2174.0,2323.0,3075.0,
Brazil,Espirito Santo,Robusta,6.2,2004,631.0,5050.0,205.0,2174.0,2323.0,3075.0,
Brazil,Sao Paulo,Arabica,3.1,2004,631.0,5050.0,205.0,2174.0,2323.0,3075.0,
Brazil,Parana,Arabica,2.2,2004,631.0,5050.0,205.0,2174.0,2323.0,3075.0,6.15
Brazil,Minas Gerais,Arabica,21.4,2005,466.0,5255.0,148.0,2305.0,2280.0,3149.0,
Brazil,Espirito Santo,Arabica,2.5,2005,466.0,5255.0,148.0,2305.0,2280.0,3149.0,
Brazil,Espirito Santo,Robusta,5.6,2005,466.0,5255.0,148.0,2305.0,2280.0,3149.0,
Brazil,Sao Paulo,Arabica,4.9,2005,466.0,5255.0,148.0,2305.0,2280.0,3149.0,
Brazil,Parana,Arabica,2.6,2005,466.0,5255.0,148.0,2305.0,2280.0,3149.0,6.71
Brazil,Minas Gerais,Arabica,16.3,2006,581.0,5330.0,175.0,2298.0,2319.0,3320.0,
Brazil,Espirito Santo,Arabica,2.2,2006,581.0,5330.0,175.0,2298.0,2319.0,3320.0,
Brazil,Espirito Santo,Robusta,6.2,2006,581.0,5330.0,175.0,2298.0,2319.0,3320.0,
Brazil,Sao Paulo,Arabica,3.3,2006,581.0,5330.0,175.0,2298.0,2319.0,3320.0,
Brazil,Parana,Arabica,1.8,2006,581.0,5330.0,175.0,2298.0,2319.0,3320.0,6.53
Brazil,Minas Gerais,Arabica,23.7,2007,563.0,5730.0,186.0,2245.0,2552.0,3030.0,
Brazil,Espirito Santo,Arabica,2.2,2007,563.0,5730.0,186.0,2245.0,2552.0,3030.0,
Brazil,Espirito Santo,Robusta,7.8,2007,563.0,5730.0,186.0,2245.0,2552.0,3030.0,
Brazil,Sao Paulo,Arabica,4.9,2007,563.0,5730.0,186.0,2245.0,2552.0,3030.0,
Brazil,Parana,Arabica,2.5,2007,563.0,5730.0,186.0,2245.0,2552.0,3030.0,5.91
Brazil,Minas Gerais,Arabica,16.85,2008,679.0,5720.0,196.0,2235.0,2559.0,3468.0,
Brazil,Espirito Santo,Arabica,2.2,2008,679.0,5720.0,196.0,2235.0,2559.0,3468.0,
Brazil,Espirito Santo,Robusta,8.2,2008,679.0,5720.0,196.0,2235.0,2559.0,3468.0,
Brazil,Sao Paulo,Arabica,3.1,2008,679.0,5720.0,196.0,2235.0,2559.0,3468.0,
Brazil,Parana,Arabica,1.95,2008,679.0,5720.0,196.0,2235.0,2559.0,3468.0,4.59
Brazil,Minas Gerais,Arabica,25.55,2009,663.0,5770.0,188.0,2223.0,2596.0,3527.0,
Brazil,Espirito Santo,Arabica,2.8,2009,663.0,5770.0,188.0,2223.0,2596.0,3527.0,
Brazil,Espirito Santo,Robusta,9.0,2009,663.0,5770.0,188.0,2223.0,2596.0,3527.0,
Brazil,Sao Paulo,Arabica,4.85,2009,663.0,5770.0,188.0,2223.0,2596.0,3527.0,
Brazil,Parana,Arabica,2.5,2009,663.0,5770.0,188.0,2223.0,2596.0,3527.0,
Brazil,Minas Gerais,Arabica,22.1,2010,873.0,5725.0,244.0,2151.0,2662.0,3578.0,
Brazil,Espirito Santo,Arabica,2.4,2010,873.0,5725.0,244.0,2151.0,2662.0,3578.0,
Brazil,Espirito Santo,Robusta,8.2,2010,873.0,5725.0,244.0,2151.0,2662.0,3578.0,
Brazil,Sao Paulo,Arabica,4.2,2010,873.0,5725.0,244.0,2151.0,2662.0,3578.0,
Brazil,Parana,Arabica,1.9,2010,873.0,5725.0,244.0,2151.0,2662.0,3578.0,
Brazil,Minas Gerais,Arabica,28.5,2011,815.0,5820.0,234.0,2175.0,2676.0,3483.0,
Brazil,Espirito Santo,Arabica,3.1,2011,815.0,5820.0,234.0,2175.0,2676.0,3483.0,
Brazil,Espirito Santo,Robusta,8.4,2011,815.0,5820.0,234.0,2175.0,2676.0,3483.0,
Brazil,Sao Paulo,Arabica,5.0,2011,815.0,5820.0,234.0,2175.0,2676.0,3483.0,
Brazil,Parana,Arabica,2.4,2011,815.0,5820.0,234.0,2175.0,2676.0,3483.0,
Brazil,Minas Gerais,Arabica,23.5,2012,835.0,5760.0,260.0,2150.0,2679.0,3212.0,6.975
Brazil,Espirito Santo,Arabica,2.7,2012,835.0,5760.0,260.0,2150.0,2679.0,3212.0,7.125
Brazil,Espirito Santo,Robusta,10.8,2012,835.0,5760.0,260.0,2150.0,2679.0,3212.0,7.125
Brazil,Sao Paulo,Arabica,4.1,2012,835.0,5760.0,260.0,2150.0,2679.0,3212.0,7.275
Brazil,Parana,Arabica,1.9,2012,835.0,5760.0,260.0,2150.0,2679.0,3212.0,5.025
Brazil,Minas Gerais,Arabica,28.5,2013,1000.0,5860.0,282.0,2105.0,2784.0,3546.0,6.65
Brazil,Espirito Santo,Arabica,3.0,2013,1000.0,5860.0,282.0,2105.0,2784.0,3546.0,7.15
Brazil,Espirito Santo,Robusta,11.8,2013,1000.0,5860.0,282.0,2105.0,2784.0,3546.0,7.15
Brazil,Sao Paulo,Arabica,5.4,2013,1000.0,5860.0,282.0,2105.0,2784.0,3546.0,7.325
Brazil,Parana,Arabica,1.8,2013,1000.0,5860.0,282.0,2105.0,2784.0,3546.0,4.4
Brazil,Minas Gerais,Arabica,29.4,2014,1055.0,5810.0,307.0,2135.0,2721.0,3436.0,6.8
Brazil,Minas Gerais,Arabica,29.4,2014,1055.0,5810.0,307.0,2135.0,2721.0,3436.0,6.8
Brazil,Espirito Santo,Arabica,3.5,2014,1055.0,5810.0,307.0,2135.0,2721.0,3436.0,6.275
Brazil,Espirito Santo,Arabica,3.5,2014,1055.0,5810.0,307.0,2135.0,2721.0,3436.0,6.275
Brazil,Espirito Santo,Robusta,12.3,2014,1055.0,5810.0,307.0,2135.0,2721.0,3436.0,6.275
Brazil,Espirito Santo,Robusta,12.3,2014,1055.0,5810.0,307.0,2135.0,2721.0,3436.0,6.275
Brazil,Sao Paulo,Arabica,4.6,2014,1055.0,5810.0,307.0,2135.0,2721.0,3436.0,7.225
Brazil,Sao Paulo,Arabica,4.6,2014,1055.0,5810.0,307.0,2135.0,2721.0,3436.0,7.225
Brazil,Parana,Arabica,1.7,2014,1055.0,5810.0,307.0,2135.0,2721.0,3436.0,4.125
Brazil,Parana,Arabica,1.7,2014,1055.0,5810.0,307.0,2135.0,2721.0,3436.0,4.125
Brazil,Minas Gerais,Arabica,26.0,2015,1185.0,5770.0,347.0,2090.0,2761.0,3415.0,8.625
Brazil,Espirito Santo,Arabica,3.3,2015,1185.0,5770.0,347.0,2090.0,2761.0,3415.0,7.85
Brazil,Espirito Santo,Robusta,13.1,2015,1185.0,5770.0,347.0,2090.0,2761.0,3415.0,7.85
Brazil,Sao Paulo,Arabica,4.6,2015,1185.0,5770.0,347.0,2090.0,2761.0,3415.0,9.475
Brazil,Parana,Arabica,1.0,2015,1185.0,5770.0,347.0,2090.0,2761.0,3415.0,5.925
Brazil,Minas Gerais,Arabica,25.3,2016,1125.0,5735.0,340.0,2070.0,2771.0,3309.0,11.2
Brazil,Espirito Santo,Arabica,3.1,2016,1125.0,5735.0,340.0,2070.0,2771.0,3309.0,12.375
Brazil,Espirito Santo,Robusta,9.9,2016,1125.0,5735.0,340.0,2070.0,2771.0,3309.0,12.375
Brazil,Sao Paulo,Arabica,4.3,2016,1125.0,5735.0,340.0,2070.0,2771.0,3309.0,12.45
Brazil,Parana,Arabica,1.2,2016,1125.0,5735.0,340.0,2070.0,2771.0,3309.0,8.3
Brazil,Minas Gerais,Arabica,32.5,2017,1300.0,5640.0,380.0,2020.0,2792.0,3421.0,12.25
Brazil,Espirito Santo,Arabica,3.8,2017,1300.0,5640.0,380.0,2020.0,2792.0,3421.0,13.275
Brazil,Espirito Santo,Robusta,6.7,2017,1300.0,5640.0,380.0,2020.0,2792.0,3421.0,13.275
Brazil,Sao Paulo,Arabica,5.9,2017,1300.0,5640.0,380.0,2020.0,2792.0,3421.0,13.525
Brazil,Parana,Arabica,1.1,2017,1300.0,5640.0,380.0,2020.0,2792.0,3421.0,9.05
Brazil,Minas Gerais,Arabica,28.3,2018,,,,,,,10.775
Brazil,Espirito Santo,Arabica,3.3,2018,,,,,,,11.675
Brazil,Espirito Santo,Robusta,7.3,2018,,,,,,,11.675
Brazil,Sao Paulo,Arabica,4.3,2018,,,,,,,13.45
Brazil,Parana,Arabica,1.3,2018,,,,,,,8.85
Brazil,Minas Gerais,Arabica,34.2,2019,1150.0,5740.0,335.0,2060.0,2786.0,3433.0,10.1
Brazil,Espirito Santo,Arabica,4.7,2019,1150.0,5740.0,335.0,2060.0,2786.0,3433.0,11.1
Brazil,Espirito Santo,Robusta,10.9,2019,1150.0,5740.0,335.0,2060.0,2786.0,3433.0,11.1
Brazil,Sao Paulo,Arabica,6.5,2019,1150.0,5740.0,335.0,2060.0,2786.0,3433.0,12.55
Brazil,Parana,Arabica,1.2,2019,1150.0,5740.0,335.0,2060.0,2786.0,3433.0,8.65
Brazil,Minas Gerais,Arabica,29.1,2020,1230.0,5700.0,350.0,2040.0,2794.0,3514.0,12.75
Brazil,Espirito Santo,Arabica,3.9,2020,1230.0,5700.0,350.0,2040.0,2794.0,3514.0,12.875
Brazil,Espirito Santo,Robusta,12.9,2020,1230.0,5700.0,350.0,2040.0,2794.0,3514.0,12.875
Brazil,Sao Paulo,Arabica,5.4,2020,1230.0,5700.0,350.0,2040.0,2794.0,3514.0,14.1
Brazil,Parana,Arabica,1.1,2020,1230.0,5700.0,350.0,2040.0,2794.0,3514.0,9.55
Brazil,Minas Gerais,Arabica,34.8,2021,1050.0,6200.0,320.0,2100.0,2952.0,3281.0,11.65
Brazil,Espirito Santo,Arabica,4.8,2021,1050.0,6200.0,320.0,2100.0,2952.0,3281.0,11.125
Brazil,Espirito Santo,Robusta,14.3,2021,1050.0,6200.0,320.0,2100.0,2952.0,3281.0,11.125
Brazil,Sao Paulo,Arabica,6.4,2021,1050.0,6200.0,320.0,2100.0,2952.0,3281.0,13.425
Brazil,Parana,Arabica,1.1,2021,1050.0,6200.0,320.0,2100.0,2952.0,3281.0,8.35
Brazil,Minas Gerais,Arabica,24.5,2022,1500.0,6010.0,470.0,2010.0,2990.0,3191.0,7.15
Brazil,Espirito Santo,Arabica,3.7,2022,1500.0,6010.0,470.0,2010.0,2990.0,3191.0,7.925
Brazil,Espirito Santo,Robusta,15.7,2022,1500.0,6010.0,470.0,2010.0,2990.0,3191.0,7.925
Brazil,Sao Paulo,Arabica,4.6,2022,1500.0,6010.0,470.0,2010.0,2990.0,3191.0,9.075
Brazil,Parana,Arabica,1.0,2022,1500.0,6010.0,470.0,2010.0,2990.0,3191.0,5.825
Brazil,Minas Gerais,Arabica,28.5,2023,1510.0,6100.0,475.0,2020.0,3020.0,3179.0,
Brazil,Espirito Santo,Arabica,4.4,2023,1510.0,6100.0,475.0,2020.0,3020.0,3179.0,
Brazil,Espirito Santo,Robusta,16.6,2023,1510.0,6100.0,475.0,2020.0,3020.0,3179.0,
Brazil,Sao Paulo,Arabica,5.1,2023,1510.0,6100.0,475.0,2020.0,3020.0,3179.0,
Brazil,Parana,Arabica,0.8,2023,1510.0,6100.0,475.0,2020.0,3020.0,3179.0,
